"screen_name","line","word"
"BuildingToys1",16,"wars"
"BuildingToys1",16,"mos"
"BuildingToys1",16,"eisley"
"BuildingToys1",16,"cantina"
"BuildingToys1",16,"complete"
"BuildingToys1",16,"set"
"BuildingToys1",16,"manual"
"BuildingToys1",16,"minifigures"
"BuildingToys1",16,"box"
"BuildingToys1",16,"https://t.co/cuuwdsfhjx"
"BuildingToys1",16,"ebay"
"BuildingToys1",16,"https://t.co/suz8icye4c"
"BuildingToys1",17,"lego"
"BuildingToys1",17,"star"
"BuildingToys1",17,"wars"
"BuildingToys1",17,"rise"
"BuildingToys1",17,"skywalker"
"BuildingToys1",17,"millennium"
"BuildingToys1",17,"falcon"
"BuildingToys1",17,"https://t.co/vi3neypfkb"
"BuildingToys1",17,"ebay"
"BuildingToys1",17,"https://t.co/dyowixafpe"
"BuildingToys1",18,"lego"
"BuildingToys1",18,"star"
"BuildingToys1",18,"wars"
"BuildingToys1",18,"classic"
"BuildingToys1",18,"clone"
"BuildingToys1",18,"army"
"BuildingToys1",18,"clone"
"BuildingToys1",18,"troopers"
"BuildingToys1",18,"ep3"
"BuildingToys1",18,"https://t.co/6j7q4aup56"
"BuildingToys1",18,"ebay"
"BuildingToys1",18,"https://t.co/fgoirtrmyx"
"BuildingToys1",19,"complete"
"BuildingToys1",19,"lego"
"BuildingToys1",19,"star"
"BuildingToys1",19,"wars"
"BuildingToys1",19,"ultimate"
"BuildingToys1",19,"collectors"
"BuildingToys1",19,"series"
"BuildingToys1",19,"slave"
"BuildingToys1",19,"https://t.co/v35yrjlnme"
"BuildingToys1",19,"ebay"
"BuildingToys1",19,"https://t.co/eln44op9vp"
"BuildingToys1",20,"lego"
"BuildingToys1",20,"star"
"BuildingToys1",20,"wars"
"BuildingToys1",20,"hoth"
"BuildingToys1",20,"echo"
"BuildingToys1",20,"base"
"BuildingToys1",20,"wminifigures"
"BuildingToys1",20,"complete"
"BuildingToys1",20,"lmtd"
"BuildingToys1",20,"edition"
"BuildingToys1",20,"https://t.co/xt0pljmwtt"
"BuildingToys1",20,"ebay"
"BuildingToys1",20,"https://t.co/ohijhfynne"
"BuildingToys1",21,"sealed"
"BuildingToys1",21,"lego"
"BuildingToys1",21,"star"
"BuildingToys1",21,"wars"
"BuildingToys1",21,"darth"
"BuildingToys1",21,"revan"
"BuildingToys1",21,"https://t.co/y3lq3xan70"
"BuildingToys1",21,"ebay"
"BuildingToys1",21,"https://t.co/x9tztv46vi"
"BuildingToys1",22,"lego"
"BuildingToys1",22,"star"
"BuildingToys1",22,"wars"
"BuildingToys1",22,"captain"
"BuildingToys1",22,"rex"
"BuildingToys1",22,"lot"
"BuildingToys1",22,"https://t.co/vyvmuagvsa"
"BuildingToys1",22,"ebay"
"BuildingToys1",22,"https://t.co/xjwxc58zlg"
"BuildingToys1",23,"lego"
"BuildingToys1",23,"star"
"BuildingToys1",23,"wars"
"BuildingToys1",23,"imperial"
"BuildingToys1",23,"light"
"BuildingToys1",23,"cruiser"
"BuildingToys1",23,"https://t.co/udnv4gl697"
"BuildingToys1",23,"ebay"
"BuildingToys1",23,"https://t.co/hn3leuya9f"
"BuildingToys1",24,"lego"
"BuildingToys1",24,"star"
"BuildingToys1",24,"wars"
"BuildingToys1",24,"chrome"
"BuildingToys1",24,"gold"
"BuildingToys1",24,"c3po"
"BuildingToys1",24,"limited"
"BuildingToys1",24,"edition"
"BuildingToys1",24,"sealed"
"BuildingToys1",24,"https://t.co/fpvqzfl1ni"
"BuildingToys1",24,"ebay"
"BuildingToys1",24,"https://t.co/b0rtn0hipv"
"BuildingToys1",25,"lego"
"BuildingToys1",25,"star"
"BuildingToys1",25,"wars"
"BuildingToys1",25,"phantom"
"BuildingToys1",25,"ezra"
"BuildingToys1",25,"bridger"
"BuildingToys1",25,"c110p"
"BuildingToys1",25,"chopper"
"BuildingToys1",25,"rebels"
"BuildingToys1",25,"https://t.co/5glpez5vhp"
"BuildingToys1",25,"ebay"
"BuildingToys1",25,"https://t.co/3xjzpetf3i"
"BuildingToys1",26,"lego"
"BuildingToys1",26,"star"
"BuildingToys1",26,"wars"
"BuildingToys1",26,"slave"
"BuildingToys1",26,"20th"
"BuildingToys1",26,"anniversary"
"BuildingToys1",26,"boba"
"BuildingToys1",26,"fett"
"BuildingToys1",26,"leia"
"BuildingToys1",26,"https://t.co/8nsvwf9rry"
"BuildingToys1",26,"ebay"
"BuildingToys1",26,"https://t.co/uhvpf8tu3c"
"BuildingToys1",27,"lego"
"BuildingToys1",27,"star"
"BuildingToys1",27,"wars"
"BuildingToys1",27,"jabbas"
"BuildingToys1",27,"sail"
"BuildingToys1",27,"barge"
"BuildingToys1",27,"complete"
"BuildingToys1",27,"minifigs"
"BuildingToys1",27,"instructions"
"BuildingToys1",27,"https://t.co/f1w98xmnks"
"BuildingToys1",27,"ebay"
"BuildingToys1",27,"https://t.co/2pu3khrnzb"
"BuildingToys1",28,"lego"
"BuildingToys1",28,"star"
"BuildingToys1",28,"wars"
"BuildingToys1",28,"3pack"
"BuildingToys1",28,"https://t.co/24hchciueo"
"BuildingToys1",28,"ebay"
"BuildingToys1",28,"https://t.co/twkhvbgoph"
"BuildingToys1",29,"lego"
"BuildingToys1",29,"star"
"BuildingToys1",29,"wars"
"BuildingToys1",29,"missing"
"BuildingToys1",29,"kanan"
"BuildingToys1",29,"read"
"BuildingToys1",29,"description"
"BuildingToys1",29,"zeb"
"BuildingToys1",29,"orrelios"
"BuildingToys1",29,"hera"
"BuildingToys1",29,"syndulla"
"BuildingToys1",29,"https://t.co/rpxf2sfi4q"
"BuildingToys1",29,"ebay"
"BuildingToys1",29,"https://t.co/qihfkpihj5"
"BuildingToys1",30,"lego"
"BuildingToys1",30,"star"
"BuildingToys1",30,"wars"
"BuildingToys1",30,"millennium"
"BuildingToys1",30,"falcon"
"BuildingToys1",30,"https://t.co/c5nffxlzwr"
"BuildingToys1",30,"ebay"
