"created_at","status_id","text","truncated","source","status_in_reply_to_status_id","status_in_reply_to_user_id","in_reply_to_screen_name","geo","coordinates","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang","possibly_sensitive","status_quoted_status_id"
2021-08-25 19:30:44,"x1430613634602971141","@StarTrek_Lt @CodeNewbies It's the ""full package"" all inclusive.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430611248819834882","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-25 19:22:03,"x1430611448053567497","@StarTrek_Lt What's the name of the site you use to generate these images? I'm totally blanking",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430561337461985280","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-25 19:22:01,"x1430611441237831690","@StarTrek_Lt @jessdkant same! case_when() is the best :)",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430611042208346113","x780551700432117760","StarTrek_Lt",,,,FALSE,0,2,TRUE,FALSE,"en",,
2021-08-25 19:20:48,"x1430611134210617347","@StarTrek_Lt @jaquelynjahn Jackie's an actual sorceress",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430611042208346113","x780551700432117760","StarTrek_Lt",,,,FALSE,0,2,TRUE,FALSE,"en",,
2021-08-25 19:19:38,"x1430610838705119232","@StarTrek_Lt Yup, @jaquelynjahn taught me this and it changed my life",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430561337461985280","x780551700432117760","StarTrek_Lt",,,,FALSE,0,3,TRUE,FALSE,"en",,
2021-08-25 17:49:30,"x1430588157280587779","@StarTrek_Lt Count is awesome, definitely one of my frequently used and favorite functions 😊 https://t.co/mC7wl7HFxY",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430562357072207874","x780551700432117760","StarTrek_Lt",,,,FALSE,0,2,TRUE,FALSE,"en",FALSE,
2021-08-25 17:08:16,"x1430577781147045895","@StarTrek_Lt @rstats4ds case_when() is amazing. Having the case_when() in a subset() command is also a very smooth solution.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430561337461985280","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-25 16:08:00,"x1430562612425670661","@StarTrek_Lt It's awesome for clarity, and it's also very strict about type consistency! For example, if you want t… https://t.co/fOwaGaQuZ3",TRUE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430561337461985280","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-25 13:31:54,"x1430523332147957767","@StarTrek_Lt Having great friends and followers like you makes what I do so much more fun and rewarding so thank you!!",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430513610275524611","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-25 06:08:21,"x1430411705880825858","@StarTrek_Lt Agreed, for me, I think it's more that, yes, the effects are known, but, for every person they present… https://t.co/WzwjyPKTI3",TRUE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430362775386091525","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-25 02:25:12,"x1430355547996540928","@StarTrek_Lt @icymi_r Wow weird.... 🤔
I'll take a look when I get home (in a couple of days)",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430355096991244299","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-25 02:22:05,"x1430354764949336069","@StarTrek_Lt @icymi_r |&gt; is the new native pipe operator.
You can load {dplyr} and replace it with %&gt;% and it should work (:",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430354091067146241","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-25 02:16:17,"x1430353306510110720","@StarTrek_Lt @icymi_r Are you using R 4.1?",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430342521851285508","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-24 23:57:17,"x1430318324668379137","@StarTrek_Lt @CaulfieldTim @RichMendezCNBC @mvankerkhove Kremlin trolls.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430284946090827782","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"de",,
2021-08-24 21:27:56,"x1430280741707997187","@StarTrek_Lt @simonw I soon after that became a convert to “leaving the system Python the heck alone” and installin… https://t.co/1CNEQooAyr",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430280000725561345","x174312391","HEPfeickert",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-24 21:25:00,"x1430280000725561345","@StarTrek_Lt @simonw As a young Ph.D. student I also had the “bright” idea to override what lived at /usr/bin/pytho… https://t.co/7YsCkCS2n0",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430276368483328006","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-24 21:08:10,"x1430275767485702144","@StarTrek_Lt @aflyax @py_data_sci @simonw I will read this. https://t.co/xNsvgQKJEm",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430275249514246154","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",FALSE,
2021-08-24 21:07:15,"x1430275535364521987","@StarTrek_Lt @aflyax @py_data_sci @simonw Thanks a lot. Will check tomorrow.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430275249514246154","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-24 21:06:36,"x1430275372134793216","@StarTrek_Lt @aflyax @py_data_sci @simonw OK, I am gonna get the book, Statistical Data Cleaning Applications with R.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430274306357927936","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-24 21:03:51,"x1430274680988962816","@StarTrek_Lt @aflyax @py_data_sci @simonw Thank you.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430274306357927936","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-24 16:47:59,"x1430210287429464067","@StarTrek_Lt I'm trying to up my video quality with better fonts. Mind sharing which videos you are referring to?",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430194562824216578","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-24 15:14:25,"x1430186742158700546","@StarTrek_Lt haha thank you!",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430186024332939269","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-23 21:23:24,"x1429917210026418181","@StarTrek_Lt But make sure you're comfortable with manager/team before accepting role.

Whether it's ""worth it"" to… https://t.co/0dHbuGU8jw",TRUE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1429916885710159873","x2343198944","BecomingDataSci",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-23 21:22:06,"x1429916885710159873","@StarTrek_Lt There are places where these problems are less prevalent (you can ask women on the teams to see if the… https://t.co/E7lNGxvLKt",TRUE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1428781810289233924","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-22 17:29:20,"x1429495919737806851","@StarTrek_Lt @ChaseTMAnderson @cjstreed @patitsel Ah yes, the census data i don't exist on...",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1429493713143668736","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-22 00:58:56,"x1429246675852283907","@StarTrek_Lt @gableingaround @skyetetra you’re almost certainly undervaluing yourself. common rules of thumb are to… https://t.co/nl5M29TZ3e",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1428799108303572992","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-21 15:50:08,"x1429108566258946048","@deathlyducky @JayIsPainting @till_living @fabledub @frempireak @DavidGoldingay @CWFunerals @DeathnBiscuits… https://t.co/NjIGOg47MJ",TRUE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1429091761817751563","x1098674784366354432","deathlyducky",,,,FALSE,0,2,FALSE,FALSE,"und",,
2021-08-21 14:50:19,"x1429093512247746563","@Jas_Hughes @StarTrek_Lt @natematias @camillonnnn pour les stickers",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1428097713023844363","x2300329224","Jas_Hughes",,,,FALSE,0,0,FALSE,FALSE,"fr",,
2021-08-21 14:43:21,"x1429091761817751563","Thank-you for your 🔁💬‘s. You are awesome: @JayIsPainting @till_living @fabledub @frempireak @DavidGoldingay… https://t.co/owWLbrqjTg",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,FALSE,0,8,FALSE,FALSE,"en",,
2021-08-21 09:58:52,"x1429020166667608069","@StarTrek_Lt Interesting. Thanks for this. What did you use as your data source? Amnesty?",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1428184585020403716","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
