"user","user_id"
"CaulfieldTim","x1241698537"
"CaulfieldTim","x127939333"
"CaulfieldTim","x281348080"
"CaulfieldTim","x174473050"
"CaulfieldTim","x3295124513"
"CaulfieldTim","x190240278"
"CaulfieldTim","x204965323"
"CaulfieldTim","x312445300"
"CaulfieldTim","x950531"
"CaulfieldTim","x21616452"
"CaulfieldTim","x291626846"
"CaulfieldTim","x18604355"
"CaulfieldTim","x2375990671"
"CaulfieldTim","x226426787"
"CaulfieldTim","x2424917515"
"CaulfieldTim","x204944073"
"CaulfieldTim","x161563071"
"CaulfieldTim","x15195539"
"CaulfieldTim","x39914105"
"CaulfieldTim","x973288678666752001"
"CaulfieldTim","x54090410"
"CaulfieldTim","x984393370964389888"
"CaulfieldTim","x263852695"
"CaulfieldTim","x118366911"
"CaulfieldTim","x912586548834635776"
"CaulfieldTim","x31294942"
"CaulfieldTim","x2533183332"
"CaulfieldTim","x1687461158"
"CaulfieldTim","x22565402"
"CaulfieldTim","x472652719"
"CaulfieldTim","x24948536"
"CaulfieldTim","x388220308"
"CaulfieldTim","x195701241"
"CaulfieldTim","x281068103"
"CaulfieldTim","x320699337"
"CaulfieldTim","x20799280"
"CaulfieldTim","x1406796787"
"CaulfieldTim","x279097431"
"CaulfieldTim","x600221740"
"CaulfieldTim","x928312772"
"CaulfieldTim","x52783661"
"CaulfieldTim","x293017858"
"CaulfieldTim","x36371994"
"CaulfieldTim","x319308389"
"CaulfieldTim","x762106937207091200"
"CaulfieldTim","x87470259"
"CaulfieldTim","x14677919"
"CaulfieldTim","x370316978"
"CaulfieldTim","x1295780163196801024"
"CaulfieldTim","x738533796"
"CaulfieldTim","x2245797112"
"CaulfieldTim","x2200292425"
"CaulfieldTim","x1340489885103362048"
"CaulfieldTim","x1199517753025187841"
"CaulfieldTim","x15639774"
"CaulfieldTim","x364593753"
"CaulfieldTim","x136658558"
"CaulfieldTim","x53771388"
"CaulfieldTim","x57048551"
"CaulfieldTim","x177336591"
"CaulfieldTim","x1300459182500597763"
"CaulfieldTim","x553839116"
"CaulfieldTim","x847506104"
"CaulfieldTim","x1232807254442811392"
"CaulfieldTim","x437807525"
"CaulfieldTim","x1289551178"
"CaulfieldTim","x3014537423"
"CaulfieldTim","x11680962"
"CaulfieldTim","x995667457317666816"
"CaulfieldTim","x1228692686"
"CaulfieldTim","x365709722"
"CaulfieldTim","x888837639993819136"
"CaulfieldTim","x2859094945"
"CaulfieldTim","x2264786000"
"CaulfieldTim","x1122875432"
"CaulfieldTim","x8546772"
"CaulfieldTim","x23337124"
"CaulfieldTim","x418046783"
"CaulfieldTim","x15955513"
"CaulfieldTim","x340997626"
"CaulfieldTim","x1234200946885918720"
"CaulfieldTim","x67745136"
"CaulfieldTim","x1179538816161304576"
"CaulfieldTim","x52179585"
"CaulfieldTim","x321563970"
"CaulfieldTim","x21344507"
"CaulfieldTim","x3093045513"
"CaulfieldTim","x1375497193499602946"
"CaulfieldTim","x462232932"
"CaulfieldTim","x59057838"
"CaulfieldTim","x352588602"
"CaulfieldTim","x911541660"
"CaulfieldTim","x982017242354388992"
"CaulfieldTim","x27726303"
"CaulfieldTim","x1245158946"
"CaulfieldTim","x380938663"
"CaulfieldTim","x2472861102"
"CaulfieldTim","x33618667"
"CaulfieldTim","x747428316420792320"
"CaulfieldTim","x258642890"
"CaulfieldTim","x480883946"
"CaulfieldTim","x1359543735130931206"
"CaulfieldTim","x865802206439653378"
"CaulfieldTim","x396323154"
"CaulfieldTim","x19694637"
"CaulfieldTim","x17749086"
"CaulfieldTim","x273221331"
"CaulfieldTim","x315323836"
"CaulfieldTim","x519818299"
"CaulfieldTim","x3107985554"
"CaulfieldTim","x398737968"
"CaulfieldTim","x77254498"
"CaulfieldTim","x18980276"
"CaulfieldTim","x34747812"
"CaulfieldTim","x954811536"
"CaulfieldTim","x610298067"
"CaulfieldTim","x307832511"
"CaulfieldTim","x150781338"
"CaulfieldTim","x776994848"
"CaulfieldTim","x22300050"
"CaulfieldTim","x29130652"
"CaulfieldTim","x156314187"
"CaulfieldTim","x50669758"
"CaulfieldTim","x360993417"
"CaulfieldTim","x370999206"
"CaulfieldTim","x23550004"
"CaulfieldTim","x172774474"
"CaulfieldTim","x17154865"
"CaulfieldTim","x170073899"
"CaulfieldTim","x26762184"
"CaulfieldTim","x298763301"
"CaulfieldTim","x35764770"
"CaulfieldTim","x918828248989159424"
"CaulfieldTim","x15417537"
"CaulfieldTim","x15900236"
"CaulfieldTim","x3381438611"
"CaulfieldTim","x14753628"
"CaulfieldTim","x96174552"
"CaulfieldTim","x190617608"
"CaulfieldTim","x17354555"
"CaulfieldTim","x279253003"
"CaulfieldTim","x987189477134094337"
"CaulfieldTim","x89452000"
"CaulfieldTim","x137734165"
"CaulfieldTim","x554600140"
"CaulfieldTim","x2165870634"
"CaulfieldTim","x214272780"
"CaulfieldTim","x739293"
"CaulfieldTim","x1673795714"
"CaulfieldTim","x100136358"
"CaulfieldTim","x2364496705"
"CaulfieldTim","x35516339"
"CaulfieldTim","x28454841"
"CaulfieldTim","x224200861"
"CaulfieldTim","x1064030633905709056"
"CaulfieldTim","x19734799"
"CaulfieldTim","x574599745"
"CaulfieldTim","x460470940"
"CaulfieldTim","x1273015124765429762"
"CaulfieldTim","x174745954"
"CaulfieldTim","x969781208321331201"
"CaulfieldTim","x1186175340286222336"
"CaulfieldTim","x26548594"
"CaulfieldTim","x2285472985"
"CaulfieldTim","x39623438"
"CaulfieldTim","x768830899257421824"
"CaulfieldTim","x854040667689037824"
"CaulfieldTim","x2484427722"
"CaulfieldTim","x40086064"
"CaulfieldTim","x971022553761361921"
"CaulfieldTim","x783740564"
"CaulfieldTim","x1404291198"
"CaulfieldTim","x1198668138352717824"
"CaulfieldTim","x176690037"
"CaulfieldTim","x190324725"
"CaulfieldTim","x271703605"
"CaulfieldTim","x1020320484112633857"
"CaulfieldTim","x872907694788812800"
"CaulfieldTim","x726767006905573376"
"CaulfieldTim","x258533106"
"CaulfieldTim","x831077559299346432"
"CaulfieldTim","x1074169130"
"CaulfieldTim","x1348126100598112257"
"CaulfieldTim","x703560726"
"CaulfieldTim","x48500651"
"CaulfieldTim","x42301660"
"CaulfieldTim","x1272589043176439810"
"CaulfieldTim","x247125507"
"CaulfieldTim","x167048236"
"CaulfieldTim","x17068185"
"CaulfieldTim","x3412786187"
"CaulfieldTim","x1290106918782943235"
"CaulfieldTim","x634011027"
"CaulfieldTim","x23730132"
"CaulfieldTim","x16339870"
"CaulfieldTim","x1449296004"
"CaulfieldTim","x14406567"
"CaulfieldTim","x252204344"
"CaulfieldTim","x1232783237623119872"
"CaulfieldTim","x1099457299528192000"
"CaulfieldTim","x54867181"
"CaulfieldTim","x208611809"
"CaulfieldTim","x28567736"
"CaulfieldTim","x1263026888"
"CaulfieldTim","x1226740892"
"CaulfieldTim","x171260200"
"CaulfieldTim","x814589791"
"CaulfieldTim","x8086542"
"CaulfieldTim","x246723540"
"CaulfieldTim","x1412878110"
"CaulfieldTim","x1077945962025439232"
"CaulfieldTim","x178713114"
"CaulfieldTim","x443734314"
"CaulfieldTim","x21394764"
"CaulfieldTim","x3131104617"
"CaulfieldTim","x196458749"
"CaulfieldTim","x1259219189803474944"
"CaulfieldTim","x108671408"
"CaulfieldTim","x18393501"
"CaulfieldTim","x25058799"
"CaulfieldTim","x15562919"
"CaulfieldTim","x150299473"
"CaulfieldTim","x1583563700"
"CaulfieldTim","x854836824501399552"
"CaulfieldTim","x76388675"
"CaulfieldTim","x148881904"
"CaulfieldTim","x801470270"
"CaulfieldTim","x16623443"
"CaulfieldTim","x13757702"
"CaulfieldTim","x284686670"
"CaulfieldTim","x133349549"
"CaulfieldTim","x201654004"
"CaulfieldTim","x1684677008"
"CaulfieldTim","x19748889"
"CaulfieldTim","x287789389"
"CaulfieldTim","x633854278"
"CaulfieldTim","x475256694"
"CaulfieldTim","x787719983400755200"
"CaulfieldTim","x104165885"
"CaulfieldTim","x964307489704546309"
"CaulfieldTim","x130951023"
"CaulfieldTim","x20411045"
"CaulfieldTim","x4219003279"
"CaulfieldTim","x3247553953"
"CaulfieldTim","x1304015684"
"CaulfieldTim","x25753805"
"CaulfieldTim","x18850797"
"CaulfieldTim","x409329000"
"CaulfieldTim","x329782236"
"CaulfieldTim","x157164434"
"CaulfieldTim","x19040598"
"CaulfieldTim","x896536798519861248"
"CaulfieldTim","x2973497434"
"CaulfieldTim","x2564697607"
"CaulfieldTim","x366561788"
"CaulfieldTim","x712012171031420928"
"CaulfieldTim","x1358136618545123328"
"CaulfieldTim","x107792575"
"CaulfieldTim","x70750600"
"CaulfieldTim","x254534301"
"CaulfieldTim","x3062360565"
"CaulfieldTim","x273580301"
"CaulfieldTim","x96782610"
"CaulfieldTim","x2228706542"
"CaulfieldTim","x42489615"
"CaulfieldTim","x1354598324"
"CaulfieldTim","x475348159"
"CaulfieldTim","x243794322"
"CaulfieldTim","x1336356778360057861"
"CaulfieldTim","x73229381"
"CaulfieldTim","x2336027556"
"CaulfieldTim","x21338827"
"CaulfieldTim","x879751182696230912"
"CaulfieldTim","x1559191434"
"CaulfieldTim","x26307306"
"CaulfieldTim","x1356648667416047624"
"CaulfieldTim","x372291193"
"CaulfieldTim","x3123600042"
"CaulfieldTim","x250440136"
"CaulfieldTim","x129726174"
"CaulfieldTim","x823565852922576897"
"CaulfieldTim","x3001403869"
"CaulfieldTim","x65375759"
"CaulfieldTim","x418780384"
"CaulfieldTim","x1544253506"
"CaulfieldTim","x1247629879975251973"
"CaulfieldTim","x3035435065"
"CaulfieldTim","x385982363"
"CaulfieldTim","x1002260288651980800"
"CaulfieldTim","x1179943936380432385"
"CaulfieldTim","x809409687762436096"
"CaulfieldTim","x76403984"
"CaulfieldTim","x1337460613799440384"
"CaulfieldTim","x158767585"
"CaulfieldTim","x233829322"
"CaulfieldTim","x432141753"
"CaulfieldTim","x1068352638499020800"
"CaulfieldTim","x1215132481189564417"
"CaulfieldTim","x17193422"
"CaulfieldTim","x596975542"
"CaulfieldTim","x227389952"
"CaulfieldTim","x229382205"
"CaulfieldTim","x14824385"
"CaulfieldTim","x3115057871"
"CaulfieldTim","x1243224794264408074"
"CaulfieldTim","x2710315887"
"CaulfieldTim","x849666375920603137"
"CaulfieldTim","x20201160"
"CaulfieldTim","x191697965"
"CaulfieldTim","x117576644"
"CaulfieldTim","x14779187"
